<<<<<<< HEAD
Category,Part#,Desciption,Unit Of Measuremnt, Price (in $),Discount
Apparel ,12365,A New Day Pouches,case,10,1
Apparel,12366,C9 Champion Kids Fleece Hoodies (Assorted),10$0.3/piece:25/box,7.5,2
Apparel,12367,C9 Champion Kids Fleece Pants (Assorted),case,10,3
Apparel,12368,Carter's Just One You Made 2-pc. Blanket Sleeper,10$0.3/piece:25/box,10,4
Apparel,12369,Carter's Just One You Made 4-pc. Pajama Set,case,10,5
Apparel,12370,Cat & Jack Girls Leggings (4-16),case,4,6
Apparel,12371,Cat & Jack Kids Blanket Sleeper,10$0.3/piece:25/box,10,7
Apparel,12372,Cat & Jack Kids Character Tees (4-16),case,5,8
Apparel,12373,Cat & Jack Kids Denim,case,8,9
Apparel,12374,Cat & Jack Kids Favorite Tees (4-16),case,5,10
Apparel,12375,Cat & Jack Kids Fleece Pants (Assorted),case,8,11
Apparel,12376,Cat & Jack Kids Fleece Pullovers (Assorted),10$0.3/piece:25/box,8,12
Apparel,12377,Cat & Jack Kids Long-Sleeve Graphic Tees (4-16),case,5,13
Apparel,12378,Cat & Jack Kids Puffer Coat (4-16),case,20,14
Apparel,12379,Cat & Jack Kids Sleep Sets,case,8,15
Apparel,12380,Cat & Jack Kids Sweaters,case,15,16
Apparel,12381,Cat & Jack Toddler & Kids Sweater,10$0.3/piece:25/box,10,17
Apparel,12382,Cat & Jack Toddler Boys Graphic Tees,case,3,18
Apparel,12383,Cat & Jack Toddler Character Tees,case,5,19
Apparel,12384,Cat & Jack Toddler Girls Graphic Tees,case,3,20
Apparel,12385,Cat & Jack Toddler Girls Leggings,case,3,21
Apparel,12386,Cat & Jack Toddlers Fleece Pants (Assorted),10$0.3/piece:25/box,5,22
Apparel,12387,Cat & Jack Toddlers Fleece Shirts (Assorted),case,5,23
Apparel,12388,Cat & Jack Toddlers Fleece Zipper Jackets (Assorted),case,5,24
Apparel,12389,Cat & Jack Toddlers Puffer Coat,case,15,25
Apparel,12390,Character Kids Sleep Set,10$0.3/piece:25/box,5,26
Apparel,12391,Character Kids Sleep Sets,case,10,27
Apparel,12392,Hottotties Wander Sock & Thermal Legging Set,case,10,28
Apparel,12393,C9 Champion Mens Pullovers (Assorted),case,15,29
Apparel,12394,Goodfellow & Co Mens French Terry Jogger Sleep Pants,10$0.3/piece:25/box,15,30
Apparel,12395,Goodfellow & Co Mens Knit Sleep Pants,case,10,31
Apparel,12396,Goodfellow & Co Mens Sweaters,case,15,32
Apparel,12397,Goodfellow & Co. Mens Fleece Crews (Assorted),10$0.3/piece:25/box,10,33
Apparel,12398,Goodfellow & Co. Mens Fleece Hoodies (Assorted),case,10,34
Apparel,12399,Goodfellow & Co. Mens Short-Sleeve Tees,case,4,35
